


X;Y;Z
0.608215;-0.390312;2.85419
0.609926;-0.391339;2.86192
0.610831;-0.391939;2.86634
0.608977;-0.390865;2.85768
0.61027;-0.391606;2.8637
0.610273;-0.391536;2.86355
0.608991;-0.3908;2.85753
0.608917;-0.390703;2.8575
0.609603;-0.391158;2.86057
0.609398;-0.391018;2.85965
0.609445;-0.391146;2.85974
0.610764;-0.391851;2.86577
0.608697;-0.39073;2.85669
0.607388;-0.389919;2.85007
0.610795;-0.391995;2.86617
0.609457;-0.391068;2.85971
0.60877;-0.39069;2.85683
0.609076;-0.390883;2.85855
0.607811;-0.390068;2.85213
0.609374;-0.391018;2.85962
0.608402;-0.390451;2.85484
0.609376;-0.391072;2.85942
0.608866;-0.390739;2.8571
0.607362;-0.389766;2.84979
0.608461;-0.39042;2.85528
0.608013;-0.390141;2.85301
0.609005;-0.390918;2.85784
0.609899;-0.391438;2.86188
0.60984;-0.391341;2.8616
0.609164;-0.39096;2.85851
0.608705;-0.390678;2.85627
0.609296;-0.391041;2.85949
